4
1 1 1 1
322 sawtooth
0 0.125 0
8 0.25 1
5 0.125 1
8 0.125 1
10 0.125 1

1 0.125 1
1 0.125 1
17 0.25 1
0 0.25 1
0 0.125 0
11 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
3 0.125 1
5 0.0625 1
6 0.0625 1

8 0.25 1
8 0.125 1
8 0.125 1
0 0.125 0
8 0.125 1
0 0.125 0
8 0.25 1
5 0.125 1
0 0.125 0
5 0.625 1

8 0.25 1
8 0.125 1
8 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
11 0.25 1
10 0.0625 1
11 0.0625 1
10 0.125 1
5 0.125 1
8 0.125 1
10 0.125 1
0 0.25 0

8 0.25 1
8 0.125 1
8 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
11 0.125 1
0 0.125 0
12 0.125 1
0 0.125 0
15 0.125 1
0 0.125 0
12 0.375 1

17 0.25 1
17 0.25 1
17 0.125 1
12 0.125 1
17 0.125 1
15 1.125 1

12 0.25 1
12 0.125 1
12 0.125 1
0 0.125 0
12 0.125 1
0 0.125 0
12 0.25 1
10 0.125 1
0 0.125 0
10 0.625 1

12 0.25 1
12 0.25 1
12 0.125 1
12 0.125 1
0 0.125 0
10 0.125 1
0 0.125 0
12 0.125 1
0 0.125 0
17 0.25 1
12 0.125 1
10 0.25 1

17 0.25 1
12 0.25 1
10 0.25 1
8 0.25 1
15 0.25 1
10 0.25 1
8 0.25 1
7 0.25 1

1 0.25 1
5 0.125 1
7 0.25 1
8 0.25 1
15 1.125 1

0 1 0
8 0.125 1
5 0.125 1
8 0.125 1
10 0.125 1
11 0.125 1
10 0.125 1
8 0.125 1
5 0.125 1

11 0.0625 1
10 0.0625 1
5 0.125 1
8 0.25 1
10 1.125 1
11 0.25 1
12 0.125 1

15 0.125 1
0 0.125 0
12 0.125 1
11 0.125 1
10 0.125 1
8 0.125 1
5 0.125 1
7 0.125 1
8 0.25 1
10 0.25 1
12 0.25 1
15 0.25 1

16 0.25 1
11 0.125 1
0 0.125 0
11 0.125 1
10 0.125 1
8 0.125 1
10 1.125 1

145 sawtooth
0 16 0

-7 0.125 0.5
-7 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-9 0.125 0.5
-9 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-10 0.125 0.5
-10 0.125 0.5
5 0.25 0.5  
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-11 0.125 0.5
-11 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-7 0.125 0.5
-7 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-9 0.125 0.5
-9 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5   
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5  

-10 0.125 0.5
-10 0.125 0.5
5 0.25 0.5    
0 0.25 0.5
0 0.125 0
-1 0.125 0.5  
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5

-11 0.125 0.5
-11 0.125 0.5
5 0.25 0.5
0 0.25 0.5
0 0.125 0
-1 0.125 0.5
0 0.125 0
-2 0.125 0.5
0 0.125 0
-4 0.25 0.5
-7 0.125 0.5
-4 0.125 0.5
-2 0.125 0.5

0 7.375 0
22 0.625 1

8 0.25 0.5
8 0.125 0.5
8 0.125 0.5
0 0.125 0
8 0.125 0.5
0 0.125 0
8 0.125 0.5
8 0.125 0.5
5 0.125 0.5
0 0.125 0.5
5 0.625 0.5

8 0.25 0.5
8 0.25 0.5
8 0.125 0.5
8 0.125 0.5
0 0.125 0
5 0.125 0.5
0 0.125 0
8 0.125 0.5
0 0.125 0
7 0.25 0.5
5 0.125 0.5
3 0.25 0.5

0 2 0

0 2 0

0 1 0
5 0.125 1
2 0.125 1
5 0.125 1
5 0.125 1
5 0.125 1
5 0.125 1
5 0.125 1
2 0.125 1

8 0.0625 1
7 0.0625 1
0 0.125 0
5 0.25 1

287 sawtooth
0 8 0

-19 0.25 1
-19 0.25 1
-19 0.125 1
-19 0.125 1
0 0.125 0
-19 0.125 1   
0 0.125 0
-19 0.125 1
0 0.125 0
-19 0.125 1   
-19 0.125 1
-19 0.125 1
-19 0.25 1    

-21 0.25 1
-21 0.25 1    
-21 0.125 1
-21 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-22 0.25 1
-22 0.25 1    
-22 0.125 1
-22 0.125 1
0 0.125 0
-22 0.125 1   
0 0.125 0
-22 0.125 1
0 0.125 0
-22 0.125 1   
-22 0.125 1
-22 0.125 1
-22 0.25 1    

-23 0.25 1
-23 0.25 1    
-23 0.125 1
-23 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-19 0.25 1
-19 0.25 1    
-19 0.125 1
-19 0.125 1
0 0.125 0
-19 0.125 1   
0 0.125 0
-19 0.125 1
0 0.125 0
-19 0.125 1   
-19 0.125 1
-19 0.125 1
-19 0.25 1    

-21 0.25 1
-21 0.25 1    
-21 0.125 1
-21 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-22 0.25 1
-22 0.25 1    
-22 0.125 1
-22 0.125 1
0 0.125 0
-22 0.125 1   
0 0.125 0
-22 0.125 1
0 0.125 0
-22 0.125 1   
-22 0.125 1
-22 0.125 1
-22 0.25 1    

-23 0.25 1
-23 0.25 1    
-23 0.125 1
-23 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-19 0.25 1
-19 0.25 1    
-19 0.125 1
-19 0.125 1
0 0.125 0
-19 0.125 1   
0 0.125 0
-19 0.125 1
0 0.125 0
-19 0.125 1   
-19 0.125 1
-19 0.125 1
-19 0.25 1    

-21 0.25 1
-21 0.25 1    
-21 0.125 1
-21 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-22 0.25 1
-22 0.25 1    
-22 0.125 1
-22 0.125 1
0 0.125 0
-22 0.125 1   
0 0.125 0
-22 0.125 1
0 0.125 0
-22 0.125 1   
-22 0.125 1
-22 0.125 1
-22 0.25 1    

-23 0.25 1
-23 0.25 1    
-23 0.125 1
-23 0.125 1
0 0.125 0
-21 0.125 1   
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1   
-21 0.125 1
-21 0.125 1
-21 0.25 1    

-19 0.25 1
-19 0.25 1    
-19 0.125 1
-19 0.125 1
0 0.125 0
-19 0.125 1   
0 0.125 0
-19 0.125 1
0 0.125 0
-19 0.125 1   
-19 0.125 1
-19 0.375 1   

-21 0.25 1
-21 0.25 1
-21 0.125 1
-21 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
-21 0.125 1
-21 0.125 1
-9 0.125 1
-21 0.125 1

-22 0.25 1
-22 0.25 1
-22 0.125 1
-22 0.125 1
0 0.125 0
-22 0.125 1
0 0.125 0
-22 0.125 1
0 0.125 0
-22 0.125 1
-22 0.125 1
-22 0.125 1
-22 0.25 1

-23 0.25 1
-23 0.25 1
-23 0.125 1
-23 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
-21 0.125 1
-9 0.125 1
-21 0.25 1

-19 0.125 1
-19 0.125 1
-7 0.25 1
-12 0.25 1
0 0.125 0
-13 0.125 1
0 0.125 0
-14 0.125 1
0 0.125 0
-16 0.25 1
-19 0.125 1
-16 0.125 1
-14 0.125 1

-21 0.125 1
-21 0.125 1
-7 0.25 1
-12 0.25 1
0 0.125 0
-13 0.125 1
0 0.125 0
-14 0.125 1
0 0.125 0
-16 0.25 1
-19 0.125 1
-16 0.125 1
-14 0.125 1

-22 0.125 1
-22 0.125 1
-7 0.25 1
-12 0.25 1
0 0.125 0
-13 0.125 1
0 0.125 0
-14 0.125 1
0 0.125 0
-16 0.25 1
-19 0.125 1
-16 0.125 1
-14 0.125 1

-23 0.125 1
-23 0.125 1
-7 0.25 1
-12 0.25 1
0 0.125 0
-13 0.125 1
0 0.125 0
-14 0.125 1
0 0.125 0
-16 0.25 1
-19 0.125 1
-16 0.125 1
-14 0.125 1

-23 0.25 1
-23 0.25 1
-23 0.125 1
-23 0.125 1
0 0.125 0
-23 0.125 1
0 0.125 0
-23 0.125 1
0 0.125 0
-23 0.125 1
-23 0.125 1
-23 0.125 1
-23 0.25 1

-21 0.25 1
-21 0.25 1
-21 0.125 1
-21 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
0 0.125 0
-21 0.125 1
-21 0.125 1
-21 0.125 1
-21 0.25 1

134 sawtooth
0 16 0

-31 0.25 1
-31 0.25 1
-31 0.125 1
-31 0.125 1
0 0.125 0
-31 0.125 1
0 0.125 0
-31 0.125 1
0 0.125 0
-31 0.125 1
-31 0.125 1
-31 0.125 1
-31 0.25 1

-33 0.25 1
-33 0.25 1
-33 0.125 1
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
-33 0.125 1
-33 0.125 1
-33 0.25 1

-34 0.25 1
-34 0.25 1
-34 0.125 1
-34 0.125 1
0 0.125 0
-34 0.125 1
0 0.125 0
-34 0.125 1
0 0.125 0
-34 0.125 1
-34 0.125 1
-34 0.125 1
-34 0.25 1

-35 0.25 1
-35 0.25 1
-35 0.125 1
-35 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
-33 0.125 1
-33 0.125 1
-33 0.25 1

-31 0.25 1
-31 0.25 1
-31 0.125 1
-31 0.125 1
0 0.125 0
-31 0.125 1
0 0.125 0
-31 0.125 1
0 0.125 0
-31 0.125 1
-31 0.125 1
-31 0.125 1
-31 0.25 1

-33 0.25 1
-33 0.25 1
-33 0.125 1
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
-33 0.125 1
-33 0.125 1
-33 0.25 1

-34 0.25 1
-34 0.25 1
-34 0.125 1
-34 0.125 1
0 0.125 0
-34 0.125 1
0 0.125 0
-34 0.125 1
0 0.125 0
-34 0.125 1
-34 0.125 1
-34 0.125 1
-34 0.25 1

-35 0.25 1
-35 0.25 1
-35 0.125 1
-35 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
-33 0.125 1
-33 0.125 1
-33 0.25 1

0 16 0

-35 0.25 1
-35 0.25 1
-35 0.125 1
-35 0.125 1
0 0.125 0
-35 0.125 1
0 0.125 0
-35 0.125 1
0 0.125 0
-35 0.125 1
-35 0.125 1
-35 0.125 1

-33 0.25 1
-33 0.25 1
-33 0.125 1
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
0 0.125 0
-33 0.125 1
-33 0.125 1
-33 0.125 1
